Unnamed: 0,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status,matched
0,james,ronald,boone,james,ronald,boone,1,1,1,1
1,mamoru,,ishii,mamoru,,ishii,1,0,1,1
2,don,benton,weser,don,benton,weser,1,1,1,1
3,john,murray,mckelvey,john,murray,mckelvey,1,1,1,1
4,yo,kil,yoon,yo,kil,yoon,1,1,1,1
5,gunol,,kocamustafaogullari,gunol,,kocamustafaogullari,1,0,1,1
6,alexandros,costas,alkidas,alexandros,costas,alkidas,1,1,1,1
7,alvaro,,abidaud,alvaro,,abidaud,1,0,1,1
8,robert,howard,hill,robert,howard,hill,1,1,1,1
9,manuel,edward,lores,manuel,edward,lores,1,1,1,1
10,joseph,peter,sanchez,joseph,peter,sanchez,1,1,1,1
11,ming,,ko,ming,,ko,1,0,1,1
12,william,campbell,little,william,campbell,little,1,1,1,1
13,james,alan,lake,james,alan,lake,1,1,1,1
14,william,alvin,bell,william,alvin,bell,1,1,1,1
15,william,marshall,leach,william,marshall,leach,1,1,1,1
16,bhaven,,chakravarti,bhaven,,chakravarti,1,0,1,1
17,joergen,,jakobsen,joergen,,jakobsen,1,0,1,1
18,ricardo,,reich,ricardo,,reich,1,0,1,1
19,pradip,,saha,pradip,,saha,1,0,1,1
20,jay,martin,tenenbaum,jay,martin,tenenbaum,1,1,1,1
21,olasope,oyediji,oyelaran,olasope,oyediji,oyelaran,1,1,1,1
22,hiroshi,,konno,hiroshi,,konno,1,0,1,1
23,claude,,machline,claude,,machline,1,0,1,1
24,robert,michael,tanner,robert,michael,tanner,1,1,1,1
25,john,s.,stuckless,john,shearing,stuckless,1,0,1,1
26,louis,hsiao - yun,chen,louis,hsiao-yun,chen,1,0,1,1
27,edward,john,ray,edward,john,ray,1,1,1,1
28,james,leslie,cox,james,leslie,cox,1,1,1,1
29,corwin,daniel,vencill,corwin,daniel,vencill,1,1,1,1
30,,,may,michael,christopher,singer,0,0,0,0
31,john,g.,wire,john,gary,wirt,1,0,0,0
32,james,edward elliott,march,james,edward,elliott,1,0,0,0
33,hall,,jr.,wilton,earl,hall,0,0,0,0
34,lawrence,edmund gilbert jr.,may,lawrence,edmund,gilbert,1,0,0,0
35,jean-louis ,pierre,armand,jean-louis,pierre,armand,0,0,1,0
36,sumner,,august,john,randolph,sumner,0,0,0,0
37,michael,hermann,sukale,michael,hermann,sukale,1,1,1,1
38,rodney,albert,schmidt jr.,rodney,albert,schmidt,1,0,0,0
39,peter,alan,morris,peter,alan,morris,1,1,1,1
40,lee,frederick,decoster,lee,frederick,decoster,1,1,1,1
