"['tso, chih-ping']"
"['winograd, terry']"
"['suchon, walter']"
"['chryssostomidis, chryssostomos']"
"['kelly, edmund francis aloysius']"
"['palmer, peter joseph']"
"['basu, satyaki']"
"['kilayko, enrique']"
"['raff, alfred israel']"
"['simson, anton keats']"
"['holschneider, johannes philipp']"
"['sweedler, moss eisenberg']"
"['el-shiekh, aly hassan mahmoud']"
"['opitz, calvin fred']"
"['pedju, ary mochtar']"
"['bonar, james robert']"
"['gruber, gerald']"
"['cannon, robert hamilton']"
"['clementson, gerhardt christopher']"
"['nez, george']"
"['washburn, charles winfred']"
"['powell, douglas s']"
"['reuter, frederick h']"
"['stenning, alan h. (alan hugh)']"
"['paslay, paul r']"
"['webb, watt wetmore, 1927-']"
"['reiner, thomas a.', '(thomas andrew), 1931-']"
"['paukulis, vivaldis']"
"['horowitz, richard m']"
"['wyckoff, harold w']"
"['scott, norman keith']"
"['wilmot, george barwick']"
"['lyon, richard h']"
"['coughlin, robert edward']"
"['jeffcoat, robert lee']"
"['bott, eric herschler']"
"['azuma, alberto']"
"['maizza neto, octavio']"
"['shiman, leon gardner']"
"['hayes, steven coburn']"
"['soupcoff, william harold']"
"['cylkowski, david']"
"['loftness, vivian ellen']"
"['neuhaus, sanford j']"
"['chen, xinmin']"
"['gangnes, arnold g. (arnold gordon), 1918-']"
"['stone, archie allan']"
"['newton, richard y']"
"['crandall, stephen h']"
"['maack, viggo e']"
"['holmes , james a .']"
"['kienas , kenneth lee']"
"['sheridan , margaret mary']"
"['fenchak , richard john']"
"['hellgeth , john william']"
"['eid , walid khaled']"
"['baba , mutasim fuad']"
"['dingus , thomas a .']"
"['gunter , mickey e .']"
"['cotter , henry van tuyl']"
"['connaway , melissa clare']"
"['crutchley , claire elaine']"
"['marshall , sterling i .']"
"['saed , mohammad ali']"
"['tang , bruce shiu-leung']"
"['mckenna , james richard']"
"['grymes , joanna m .']"
"['randall , john lewis , jr .']"
"['shalev , doron']"
"['antenucci , robert nicholas']"
"['hall , lena']"
"['bredenkamp , brian victor']"
"['hawkins , ronald eugene']"
"['lai , lin-ying']"
"['yurochko , william p .']"
"['aiello , helene sarah']"
"['santon , beryle crockett']"
"['clemons , clell richardson , jr .']"
"['hellstern , ann marie']"
"['arnold , cynthia ann']"
"['gysel , libra jan cleveland']"
"['arhancet , juan pedro']"
"['kim , ha chul']"
"['yordan hernandez , jorge luis']"
"['chermak , john alan']"
"['arenburg , robert thomas']"
"['gruhn , christine mae']"
"['ayangbile , gbemiga adekunmi']"
"['cohen , david henry']"
"['morris , linda ellen']"
"['oliveira , anthony joseph']"
"['anderton , lillie mae']"
"['bennett , kimberly dean']"
"['semanic-lauth , susan ann']"
"['chang , chian-yeun']"
"['sehn , allen lee']"
"['wang , zhiqiang']"
"['chism , william john']"
"['barton , thomas f .']"
"['desimone , joseph mark']"
